◇ injected env (5) from .env // tip: ⌘ suppress logs { quiet: true }
◇ injected env (0) from .env // tip: ⌘ custom filepath { path: '/custom/path/.env' }
ENV CHECK: root IalTksGhNHfKjpdRJyOrKGxuxYqfowAj
DEBUG: app._router present = false
DEBUG: app._router.stack length = 0
Server chạy tại http://localhost:3000
No Express router stack available to list routes.
[REQ] 2026-06-23T05:11:21.387Z GET /orders
[REQ] 2026-06-23T05:11:58.976Z GET /
[REQ] 2026-06-23T05:11:58.999Z GET /auth/me
[REQ] 2026-06-23T05:11:59.239Z GET /dashboard
[REQ] 2026-06-23T05:11:59.245Z GET /products
[REQ] 2026-06-23T05:11:59.511Z GET /inventory
[REQ] 2026-06-23T05:11:59.517Z GET /categories
[REQ] 2026-06-23T05:11:59.518Z GET /orders
[REQ] 2026-06-23T05:11:59.519Z GET /api/products?sold=1
[REQ] 2026-06-23T05:11:59.746Z GET /categories
[REQ] 2026-06-23T05:12:00.405Z GET /dashboard
[REQ] 2026-06-23T05:12:00.465Z GET /api/staff_public
[REQ] 2026-06-23T05:12:00.702Z GET /public/reports/summary?
[REQ] 2026-06-23T05:12:00.706Z GET /public/reports/sales?
[REQ] 2026-06-23T05:12:00.708Z GET /public/reports/products?
[REQ] 2026-06-23T05:12:00.709Z GET /public/reports/customers?
[REQ] 2026-06-23T05:12:00.710Z GET /public/reports/staff?
[REQ] 2026-06-23T05:12:01.033Z GET /orders
[REQ] 2026-06-23T05:12:01.178Z GET /public/reports/sales?
[REQ] 2026-06-23T05:12:01.871Z GET /users
[REQ] 2026-06-23T05:12:01.876Z GET /shifts/current
[REQ] 2026-06-23T05:12:02.120Z GET /shifts?status=OPEN
[REQ] 2026-06-23T05:12:03.679Z GET /orders
[REQ] 2026-06-23T05:12:06.411Z GET /products
[REQ] 2026-06-23T05:12:06.660Z GET /inventory
[REQ] 2026-06-23T05:12:12.592Z POST /orders
[REQ] 2026-06-23T05:12:13.326Z GET /dashboard
[REQ] 2026-06-23T05:12:13.330Z GET /products
[REQ] 2026-06-23T05:12:13.569Z GET /inventory
[REQ] 2026-06-23T05:12:17.059Z GET /orders
[REQ] 2026-06-23T05:12:32.289Z GET /public/reports/summary?
[REQ] 2026-06-23T05:12:32.313Z GET /public/reports/sales?
[REQ] 2026-06-23T05:12:32.326Z GET /public/reports/products?
[REQ] 2026-06-23T05:12:32.327Z GET /public/reports/customers?
[REQ] 2026-06-23T05:12:32.328Z GET /public/reports/staff?
[REQ] 2026-06-23T05:12:32.801Z GET /public/reports/sales?
[REQ] 2026-06-23T05:12:36.412Z GET /orders
[REQ] 2026-06-23T05:12:38.213Z GET /
[REQ] 2026-06-23T05:12:38.232Z GET /auth/me
[REQ] 2026-06-23T05:12:38.522Z GET /dashboard
[REQ] 2026-06-23T05:12:38.526Z GET /products
[REQ] 2026-06-23T05:12:38.835Z GET /inventory
[REQ] 2026-06-23T05:12:38.840Z GET /categories
[REQ] 2026-06-23T05:12:38.841Z GET /orders
[REQ] 2026-06-23T05:12:38.842Z GET /api/products?sold=1
[REQ] 2026-06-23T05:12:39.069Z GET /categories
[REQ] 2026-06-23T05:12:39.086Z GET /api/staff_public
[REQ] 2026-06-23T05:12:39.330Z GET /public/reports/summary?
[REQ] 2026-06-23T05:12:39.332Z GET /public/reports/sales?
[REQ] 2026-06-23T05:12:39.332Z GET /public/reports/products?
[REQ] 2026-06-23T05:12:39.333Z GET /public/reports/customers?
[REQ] 2026-06-23T05:12:39.334Z GET /public/reports/staff?
[REQ] 2026-06-23T05:12:39.756Z GET /dashboard
[REQ] 2026-06-23T05:12:39.788Z GET /public/reports/sales?
[REQ] 2026-06-23T05:12:40.171Z GET /orders
[REQ] 2026-06-23T05:12:40.910Z GET /users
[REQ] 2026-06-23T05:12:40.915Z GET /shifts/current
[REQ] 2026-06-23T05:12:41.145Z GET /shifts?status=OPEN
[REQ] 2026-06-23T05:12:43.432Z GET /orders
